"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"test1","PK_test1","1","","","CLUSTERED","0","False","","",""
"test2","","0","","","HEAP","0","False","","",""
"test3","","0","","","HEAP","0","False","","",""
"test4","","0","","","HEAP","0","False","","",""
"USysRibbons","PK_USysRibbons","1","","","CLUSTERED","0","False","","",""
"acLink","PK_acLink","1","","","CLUSTERED","0","False","","",""
"BillCriteria","","0","","","HEAP","0","False","","",""
"Derived_Values","PK_Derived_Values","1","","","CLUSTERED","0","False","","",""
"Derived_Values_Test","","0","","","HEAP","0","False","","",""
"Sync_log","PK_Sync_log","1","","","CLUSTERED","0","False","","",""
"INVTSER","","0","","","HEAP","0","False","","",""
