"CPU Rank","Database Name","CPU Time (ms)","CPU Percent"
"1","KHTT_ST","20806473","99.53"
"2","master","59168","0.28"
"3","SGCReport_2016_2021","13381","0.06"
"4","msdb","4843","0.02"
"5","Son_TEST_DCDR","3477","0.02"
"6","KHTT_ST24","2547","0.01"
"7","KHTT_ST23","2205","0.01"
"8","KHTT_ST22","2193","0.01"
"9","KHTT_ST_TEST","2031","0.01"
"10","ReportServer","2005","0.01"
"11","ReportServerTempDB","1921","0.01"
"12","tempdb","1230","0.01"
"13","model","854","0.00"
"14","SGCReport","612","0.00"
"15","SDI_CFNQ","510","0.00"
"16","AccessConfig","360","0.00"
