"I/O Rank","Database Name","Total I/O (MB)","Total I/O %","Read I/O (MB)","Read I/O %","Write I/O (MB)","Write I/O %"
"1","tempdb","31912818.00","56.12","15820813.00","46.85","16092005.00","69.69"
"2","KHTT_ST","24511326.00","43.11","17745383.00","52.55","6765943.00","29.30"
"3","SGCReport","285608.00","0.50","143200.00","0.42","142407.00","0.62"
"4","SGCReport_2016_2021","72665.00","0.13","75.00","0.00","72589.00","0.31"
"5","KHTT_ST_TEST","43017.00","0.08","31336.00","0.09","11680.00","0.05"
"6","KHTT_ST24","24371.00","0.04","20368.00","0.06","4002.00","0.02"
"7","KHTT_ST22","6230.00","0.01","5803.00","0.02","426.00","0.00"
"8","msdb","2967.00","0.01","454.00","0.00","2512.00","0.01"
"9","KHTT_ST23","2071.00","0.00","2071.00","0.01","0.00","0.00"
"10","SDI_CFNQ","224.00","0.00","29.00","0.00","194.00","0.00"
"11","AccessConfig","214.00","0.00","21.00","0.00","193.00","0.00"
"12","master","61.00","0.00","23.00","0.00","38.00","0.00"
"13","model","19.00","0.00","19.00","0.00","0.00","0.00"
"14","ReportServer","11.00","0.00","11.00","0.00","0.00","0.00"
"15","ReportServerTempDB","7.00","0.00","7.00","0.00","0.00","0.00"
"16","Son_TEST_DCDR","6.00","0.00","6.00","0.00","0.00","0.00"
