"name","value","value_in_use","minimum","maximum","description","is_dynamic","is_advanced"
"access check cache bucket count","0","0","0","65536","Default hash bucket count for the access check result security cache","True","True"
"access check cache quota","0","0","0","2147483647","Default quota for the access check result security cache","True","True"
"Ad Hoc Distributed Queries","1","1","0","1","Enable or disable Ad Hoc Distributed Queries","True","True"
"affinity I/O mask","0","0","-2147483648","2147483647","affinity I/O mask","False","True"
"affinity mask","0","0","-2147483648","2147483647","affinity mask","True","True"
"affinity64 I/O mask","0","0","-2147483648","2147483647","affinity64 I/O mask","False","True"
"affinity64 mask","0","0","-2147483648","2147483647","affinity64 mask","True","True"
"Agent XPs","1","1","0","1","Enable or disable Agent XPs","True","True"
"allow updates","0","0","0","1","Allow updates to system tables","True","False"
"backup checksum default","0","0","0","1","Enable checksum of backups by default","True","False"
"backup compression default","0","0","0","1","Enable compression of backups by default","True","False"
"blocked process threshold (s)","0","0","0","86400","Blocked process reporting threshold","True","True"
"c2 audit mode","0","0","0","1","c2 audit mode","False","True"
"clr enabled","0","0","0","1","CLR user code execution enabled in the server","True","False"
"common criteria compliance enabled","0","0","0","1","Common Criteria compliance mode enabled","False","True"
"contained database authentication","0","0","0","1","Enables contained databases and contained authentication","True","False"
"cost threshold for parallelism","5","5","0","32767","cost threshold for parallelism","True","True"
"cross db ownership chaining","0","0","0","1","Allow cross db ownership chaining","True","False"
"cursor threshold","-1","-1","-1","2147483647","cursor threshold","True","True"
"Database Mail XPs","1","1","0","1","Enable or disable Database Mail XPs","True","True"
"default full-text language","1033","1033","0","2147483647","default full-text language","True","True"
"default language","0","0","0","9999","default language","True","False"
"default trace enabled","1","1","0","1","Enable or disable the default trace","True","True"
"disallow results from triggers","0","0","0","1","Disallow returning results from triggers","True","True"
"EKM provider enabled","0","0","0","1","Enable or disable EKM provider","True","True"
"filestream access level","2","2","0","2","Sets the FILESTREAM access level","True","False"
"fill factor (%)","0","0","0","100","Default fill factor percentage","False","True"
"ft crawl bandwidth (max)","100","100","0","32767","Max number of full-text crawl buffers","True","True"
"ft crawl bandwidth (min)","0","0","0","32767","Number of reserved full-text crawl buffers","True","True"
"ft notify bandwidth (max)","100","100","0","32767","Max number of full-text notifications buffers","True","True"
"ft notify bandwidth (min)","0","0","0","32767","Number of reserved full-text notifications buffers","True","True"
"index create memory (KB)","0","0","704","2147483647","Memory for index create sorts (kBytes)","True","True"
"in-doubt xact resolution","0","0","0","2","Recovery policy for DTC transactions with unknown outcome","True","True"
"lightweight pooling","0","0","0","1","User mode scheduler uses lightweight pooling","False","True"
"locks","0","0","5000","2147483647","Number of locks for all users","False","True"
"max degree of parallelism","0","0","0","32767","maximum degree of parallelism","True","True"
"max full-text crawl range","4","4","0","256","Maximum  crawl ranges allowed in full-text indexing","True","True"
"max server memory (MB)","51200","51200","128","2147483647","Maximum size of server memory (MB)","True","True"
"max text repl size (B)","65536","65536","-1","2147483647","Maximum size of a text field in replication.","True","False"
"max worker threads","0","0","128","65535","Maximum worker threads","True","True"
"media retention","0","0","0","365","Tape retention period in days","True","True"
"min memory per query (KB)","1024","1024","512","2147483647","minimum memory per query (kBytes)","True","True"
"min server memory (MB)","0","16","0","2147483647","Minimum size of server memory (MB)","True","True"
"nested triggers","1","1","0","1","Allow triggers to be invoked within triggers","True","False"
"network packet size (B)","4096","4096","512","32767","Network packet size","True","True"
"Ole Automation Procedures","1","1","0","1","Enable or disable Ole Automation Procedures","True","True"
"open objects","0","0","0","2147483647","Number of open database objects","False","True"
"optimize for ad hoc workloads","0","0","0","1","When this option is set, plan cache size is further reduced for single-use adhoc OLTP workload.","True","True"
"PH timeout (s)","60","60","1","3600","DB connection timeout for full-text protocol handler (s)","True","True"
"precompute rank","0","0","0","1","Use precomputed rank for full-text query","True","True"
"priority boost","0","0","0","1","Priority boost","False","True"
"query governor cost limit","0","0","0","2147483647","Maximum estimated cost allowed by query governor","True","True"
"query wait (s)","-1","-1","-1","2147483647","maximum time to wait for query memory (s)","True","True"
"recovery interval (min)","0","0","0","32767","Maximum recovery interval in minutes","True","True"
"remote access","0","0","0","1","Allow remote access","False","False"
"remote admin connections","0","0","0","1","Dedicated Admin Connections are allowed from remote clients","True","False"
"remote login timeout (s)","10","10","0","2147483647","remote login timeout","True","False"
"remote proc trans","0","0","0","1","Create DTC transaction for remote procedures","True","False"
"remote query timeout (s)","600","600","0","2147483647","remote query timeout","True","False"
"Replication XPs","0","0","0","1","Enable or disable Replication XPs","True","True"
"scan for startup procs","0","0","0","1","scan for startup stored procedures","False","True"
"server trigger recursion","1","1","0","1","Allow recursion for server level triggers","True","False"
"set working set size","0","0","0","1","set working set size","False","True"
"show advanced options","1","1","0","1","show advanced options","True","False"
"SMO and DMO XPs","1","1","0","1","Enable or disable SMO and DMO XPs","True","True"
"transform noise words","0","0","0","1","Transform noise words for full-text query","True","True"
"two digit year cutoff","2049","2049","1753","9999","two digit year cutoff","True","True"
"user connections","0","0","0","32767","Number of user connections allowed","False","True"
"user options","0","0","0","32767","user options","True","False"
"xp_cmdshell","1","1","0","1","Enable or disable command shell","True","True"
