"Database","Recovery Model","Log Reuse Wait Desc","Last Full Backup","Last Differential Backup","Last Log Backup"
"AccessConfig","FULL","NOTHING","","","12/11/2025 2:00:02 PM"
"KHTT_ST","FULL","LOG_BACKUP","12/10/2025 11:59:25 PM","","12/11/2025 2:00:00 PM"
"KHTT_ST22","FULL","LOG_BACKUP","","",""
"KHTT_ST23","FULL","NOTHING","","",""
"model","FULL","NOTHING","","",""
"ReportServer","FULL","NOTHING","","",""
"SDI_CFNQ","FULL","NOTHING","","","12/11/2025 2:00:01 PM"
"SGCReport","FULL","NOTHING","","","12/11/2025 2:00:01 PM"
"SGCReport_2016_2021","FULL","NOTHING","","",""
"Son_TEST_DCDR","FULL","NOTHING","","",""
"KHTT_ST_TEST","SIMPLE","NOTHING","","",""
"KHTT_ST24","SIMPLE","NOTHING","","",""
"master","SIMPLE","NOTHING","","",""
"msdb","SIMPLE","NOTHING","","",""
"ReportServerTempDB","SIMPLE","NOTHING","","",""
