"SP Name","Execution Count","Calls/Minute","Avg Elapsed Time","Avg Worker Time","Avg Logical Reads","Has Missing Index","Last Execution Time","Plan Cached Time"
"sp_INVTSERV","20160","38","8840","9782","885","0","2025-12-11 15:49:17","2025-12-11 07:07:01"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","15254","28","103405","1292380","93120","1","2025-12-11 15:50:12","2025-12-11 07:00:01"
"sp_GET_CUSTOMER_INFO_AT_SUPERMARKET","13352","25","19873","19550","198","0","2025-12-11 15:50:10","2025-12-11 07:00:05"
"sp_MSupd_dboKhachHang","10812","20","102","98","5","0","2025-12-11 15:49:45","2025-12-11 07:09:39"
"getTNDSERV","10080","20","62918","367410","22352","0","2025-12-11 15:49:20","2025-12-11 07:37:36"
"sp_MSupd_dboThe","426","0","178","172","14","0","2025-12-11 15:35:44","2025-12-11 07:09:39"
"sp_MSins_dboKhachHang","405","0","1118","968","81","0","2025-12-11 15:35:44","2025-12-11 07:09:39"
"sp_CallCenter_GET_CIM_At_SCM","246","0","16111","15727","183","0","2025-12-11 15:49:25","2025-12-11 07:08:25"
"CRM_GET_CONVERSION_INFO","170","0","93","91","2","0","2025-12-11 15:47:42","2025-12-11 07:00:38"
"CRM_GET_POINT_TT","139","0","95822","95049","4","0","2025-12-11 15:47:42","2025-12-11 07:00:38"
"CRM_GET_INFOR","136","0","9007","8839","93","0","2025-12-11 15:47:42","2025-12-11 07:00:37"
"KHTT_INTERFACE_INVTSERV","51","0","3340387","3145117","393714","0","2025-12-11 15:50:00","2025-12-11 07:30:00"
"KHTT_INTERFACE_TENDER","51","0","1180924","1116197","3050","1","2025-12-11 15:50:07","2025-12-11 07:30:06"
"KHTT_INTERFACE_INVTSERV_CFHCM2","50","0","2603002","2517284","278274","0","2025-12-11 15:46:00","2025-12-11 07:36:00"
"KHTT_INTERFACE_INVTSERV_HCM_3","50","0","2118095","2034598","4353","1","2025-12-11 15:50:00","2025-12-11 07:40:00"
"KHTT_INTERFACE_INVTSERV_CFHN","50","0","1663691","1351910","118102","0","2025-12-11 15:44:00","2025-12-11 07:34:00"
"KHTT_INTERFACE_INVTSERV_CFTinh","50","0","1447984","1266292","2869","1","2025-12-11 15:42:00","2025-12-11 07:32:00"
"KHTT_INTERFACE_TENDER_HCM_2","50","0","859601","811256","2407","1","2025-12-11 15:48:02","2025-12-11 07:38:03"
"KHTT_INTERFACE_TENDER_CFHCM2","50","0","949793","905327","2368","1","2025-12-11 15:46:02","2025-12-11 07:36:03"
"KHTT_INTERFACE_TENDER_HCM_3","50","0","4122439","3983067","822357","0","2025-12-11 15:50:03","2025-12-11 07:40:02"
"KHTT_INTERFACE_TENDER_CFHN","50","0","540349","513648","1141","1","2025-12-11 15:44:03","2025-12-11 07:34:02"
"KHTT_INTERFACE_INVTSERV_HCM_2","50","0","2088337","2030951","271882","0","2025-12-11 15:48:00","2025-12-11 07:38:00"
"KHTT_INTERFACE_TENDER_CFTinh","50","0","755632","715652","1764","1","2025-12-11 15:42:02","2025-12-11 07:32:02"
"KHTT_INTERFACE_TENDER_HCM_5","49","0","902848","855465","2338","1","2025-12-11 15:42:02","2025-12-11 07:42:05"
"KHTT_INTERFACE_INVTSERV_HCM_4","49","0","2029516","1856388","3941","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_TENDER_HCM_4","49","0","962150","915458","2542","1","2025-12-11 15:42:02","2025-12-11 07:42:03"
"KHTT_INTERFACE_INVTSERV_HCM_5","49","0","1872579","1692338","3261","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"CRM_CHECK_PIN_EXISTS","39","0","219","206","8","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"checkPINValid","31","0","322","320","21","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"CRM_POINT_REDEEM_TT","31","0","20872","20458","4","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"CRM_POINT_REDEEM","31","0","14249","3182","86","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"sp_GET_HIST_HDR","10","0","532294","752107","94495","0","2025-12-11 15:07:42","2025-12-11 09:06:01"
"sp_MSins_dboCTKhuyenMai","6","0","131","130","13","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
"sp_MSins_dboKhuyenMai_SieuThi","2","0","68","67","2","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
"sp_MSins_dboKhuyenMai","2","0","108","107","2","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
"sp_MSins_dboCTKhuyenMaiPOS","1","0","131","130","3","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
"sp_MSins_dboDieuKienKhuyenMaiPOS","1","0","102","102","3","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
"sp_MSins_dboKhuyenMai_SieuThiPOS","1","0","113","112","3","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
"sp_MSins_dboKhuyenMaiPOS","1","0","146","145","3","0","2025-12-11 12:04:44","2025-12-11 12:04:44"
