"SP Name","TotalWorkerTime","AvgWorkerTime","execution_count","Calls/Minute","total_elapsed_time","avg_elapsed_time","Has Missing Index","Last Execution Time","Plan Cached Time"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","19715206102","1292376","15255","28","1577445292","103405","1","2025-12-11 15:50:15","2025-12-11 07:00:01"
"getTNDSERV","3703498103","367410","10080","20","634214938","62918","0","2025-12-11 15:49:20","2025-12-11 07:37:36"
"sp_GET_CUSTOMER_INFO_AT_SUPERMARKET","261064234","19550","13353","25","265373503","19873","0","2025-12-11 15:50:14","2025-12-11 07:00:05"
"KHTT_INTERFACE_TENDER_HCM_3","199153374","3983067","50","0","206121960","4122439","0","2025-12-11 15:50:03","2025-12-11 07:40:02"
"sp_INVTSERV","197217066","9782","20160","38","178224667","8840","0","2025-12-11 15:49:17","2025-12-11 07:07:01"
"KHTT_INTERFACE_INVTSERV","160401000","3145117","51","0","170359749","3340387","0","2025-12-11 15:50:00","2025-12-11 07:30:00"
"KHTT_INTERFACE_INVTSERV_CFHCM2","125864204","2517284","50","0","130150132","2603002","0","2025-12-11 15:46:00","2025-12-11 07:36:00"
"KHTT_INTERFACE_INVTSERV_HCM_3","101729930","2034598","50","0","105904761","2118095","1","2025-12-11 15:50:00","2025-12-11 07:40:00"
"KHTT_INTERFACE_INVTSERV_HCM_2","101547564","2030951","50","0","104416882","2088337","0","2025-12-11 15:48:00","2025-12-11 07:38:00"
"KHTT_INTERFACE_INVTSERV_HCM_4","90963038","1856388","49","0","99446298","2029516","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_INVTSERV_HCM_5","82924608","1692338","49","0","91756416","1872579","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_INVTSERV_CFHN","67595537","1351910","50","0","83184550","1663691","0","2025-12-11 15:44:00","2025-12-11 07:34:00"
"KHTT_INTERFACE_INVTSERV_CFTinh","63314615","1266292","50","0","72399247","1447984","1","2025-12-11 15:42:00","2025-12-11 07:32:00"
"KHTT_INTERFACE_TENDER","56926073","1116197","51","0","60227134","1180924","1","2025-12-11 15:50:07","2025-12-11 07:30:06"
"KHTT_INTERFACE_TENDER_CFHCM2","45266351","905327","50","0","47489670","949793","1","2025-12-11 15:46:02","2025-12-11 07:36:03"
"KHTT_INTERFACE_TENDER_HCM_4","44857475","915458","49","0","47145366","962150","1","2025-12-11 15:42:02","2025-12-11 07:42:03"
"KHTT_INTERFACE_TENDER_HCM_5","41917794","855465","49","0","44239568","902848","1","2025-12-11 15:42:02","2025-12-11 07:42:05"
"KHTT_INTERFACE_TENDER_HCM_2","40562819","811256","50","0","42980052","859601","1","2025-12-11 15:48:02","2025-12-11 07:38:03"
"KHTT_INTERFACE_TENDER_CFTinh","35782605","715652","50","0","37781634","755632","1","2025-12-11 15:42:02","2025-12-11 07:32:02"
"KHTT_INTERFACE_TENDER_CFHN","25682424","513648","50","0","27017489","540349","1","2025-12-11 15:44:03","2025-12-11 07:34:02"
"CRM_GET_POINT_TT","13211858","95049","139","0","13319344","95822","0","2025-12-11 15:47:42","2025-12-11 07:00:38"
"sp_GET_HIST_HDR","7521070","752107","10","0","5322941","532294","0","2025-12-11 15:07:42","2025-12-11 09:06:01"
"sp_CallCenter_GET_CIM_At_SCM","3869036","15727","246","0","3963438","16111","0","2025-12-11 15:49:25","2025-12-11 07:08:25"
"CRM_GET_INFOR","1202170","8839","136","0","1225010","9007","0","2025-12-11 15:47:42","2025-12-11 07:00:37"
"sp_MSupd_dboKhachHang","1062694","98","10812","20","1110165","102","0","2025-12-11 15:49:45","2025-12-11 07:09:39"
