"SP Name","TotalLogicalReads","AvgLogicalReads","execution_count","Calls/Minute","total_elapsed_time","avg_elapsed_time","Has Missing Index","Last Execution Time","Plan Cached Time"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","1420550800","93120","15255","28","1577445292","103405","1","2025-12-11 15:50:15","2025-12-11 07:00:01"
"getTNDSERV","225308879","22352","10080","20","634214938","62918","0","2025-12-11 15:49:20","2025-12-11 07:37:36"
"KHTT_INTERFACE_TENDER_HCM_3","41117884","822357","50","0","206121960","4122439","0","2025-12-11 15:50:03","2025-12-11 07:40:02"
"KHTT_INTERFACE_INVTSERV","20079462","393714","51","0","170359749","3340387","0","2025-12-11 15:50:00","2025-12-11 07:30:00"
"sp_INVTSERV","17855537","885","20160","38","178224667","8840","0","2025-12-11 15:49:17","2025-12-11 07:07:01"
"KHTT_INTERFACE_INVTSERV_CFHCM2","13913734","278274","50","0","130150132","2603002","0","2025-12-11 15:46:00","2025-12-11 07:36:00"
"KHTT_INTERFACE_INVTSERV_HCM_2","13594128","271882","50","0","104416882","2088337","0","2025-12-11 15:48:00","2025-12-11 07:38:00"
"KHTT_INTERFACE_INVTSERV_CFHN","5905148","118102","50","0","83184550","1663691","0","2025-12-11 15:44:00","2025-12-11 07:34:00"
"sp_GET_CUSTOMER_INFO_AT_SUPERMARKET","2652569","198","13353","25","265373503","19873","0","2025-12-11 15:50:14","2025-12-11 07:00:05"
"sp_GET_HIST_HDR","944951","94495","10","0","5322941","532294","0","2025-12-11 15:07:42","2025-12-11 09:06:01"
"KHTT_INTERFACE_INVTSERV_HCM_3","217680","4353","50","0","105904761","2118095","1","2025-12-11 15:50:00","2025-12-11 07:40:00"
"KHTT_INTERFACE_INVTSERV_HCM_4","193111","3941","49","0","99446298","2029516","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_INVTSERV_HCM_5","159837","3261","49","0","91756416","1872579","1","2025-12-11 15:42:00","2025-12-11 07:42:00"
"KHTT_INTERFACE_TENDER","155562","3050","51","0","60227134","1180924","1","2025-12-11 15:50:07","2025-12-11 07:30:06"
"KHTT_INTERFACE_INVTSERV_CFTinh","143471","2869","50","0","72399247","1447984","1","2025-12-11 15:42:00","2025-12-11 07:32:00"
"KHTT_INTERFACE_TENDER_HCM_4","124562","2542","49","0","47145366","962150","1","2025-12-11 15:42:02","2025-12-11 07:42:03"
"KHTT_INTERFACE_TENDER_HCM_2","120389","2407","50","0","42980052","859601","1","2025-12-11 15:48:02","2025-12-11 07:38:03"
"KHTT_INTERFACE_TENDER_CFHCM2","118416","2368","50","0","47489670","949793","1","2025-12-11 15:46:02","2025-12-11 07:36:03"
"KHTT_INTERFACE_TENDER_HCM_5","114604","2338","49","0","44239568","902848","1","2025-12-11 15:42:02","2025-12-11 07:42:05"
"KHTT_INTERFACE_TENDER_CFTinh","88241","1764","50","0","37781634","755632","1","2025-12-11 15:42:02","2025-12-11 07:32:02"
"sp_MSupd_dboKhachHang","57210","5","10812","20","1110165","102","0","2025-12-11 15:49:45","2025-12-11 07:09:39"
"KHTT_INTERFACE_TENDER_CFHN","57064","1141","50","0","27017489","540349","1","2025-12-11 15:44:03","2025-12-11 07:34:02"
"sp_CallCenter_GET_CIM_At_SCM","45128","183","246","0","3963438","16111","0","2025-12-11 15:49:25","2025-12-11 07:08:25"
"sp_MSins_dboKhachHang","32824","81","405","0","453116","1118","0","2025-12-11 15:35:44","2025-12-11 07:09:39"
"CRM_GET_INFOR","12764","93","136","0","1225010","9007","0","2025-12-11 15:47:42","2025-12-11 07:00:37"
