"SP Name","TotalPhysicalReads","AvgPhysicalReads","execution_count","total_logical_reads","total_elapsed_time","avg_elapsed_time","Has Missing Index","Last Execution Time","Plan Cached Time"
"getTNDSERV","1105988","109","10080","225308879","634214938","62918","0","2025-12-11 15:49:20","2025-12-11 07:37:36"
"KHTT_INTERFACE_INVTSERV_CFHN","58960","1179","50","5905148","83184550","1663691","0","2025-12-11 15:44:00","2025-12-11 07:34:00"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","1016","0","15256","1420643939","1577621056","103409","1","2025-12-11 15:50:17","2025-12-11 07:00:01"
"sp_GET_CUSTOMER_INFO_AT_SUPERMARKET","729","0","13353","2652569","265373503","19873","0","2025-12-11 15:50:14","2025-12-11 07:00:05"
"sp_INVTSERV","334","0","20160","17855537","178224667","8840","0","2025-12-11 15:49:17","2025-12-11 07:07:01"
"sp_MSins_dboKhachHang","288","0","405","32824","453116","1118","0","2025-12-11 15:35:44","2025-12-11 07:09:39"
"sp_GET_HIST_HDR","111","11","10","944951","5322941","532294","0","2025-12-11 15:07:42","2025-12-11 09:06:01"
"sp_CallCenter_GET_CIM_At_SCM","36","0","246","45128","3963438","16111","0","2025-12-11 15:49:25","2025-12-11 07:08:25"
"sp_MSupd_dboKhachHang","26","0","10812","57210","1110165","102","0","2025-12-11 15:49:45","2025-12-11 07:09:39"
"KHTT_INTERFACE_INVTSERV_HCM_2","13","0","50","13594128","104416882","2088337","0","2025-12-11 15:48:00","2025-12-11 07:38:00"
"KHTT_INTERFACE_INVTSERV_CFHCM2","11","0","50","13913734","130150132","2603002","0","2025-12-11 15:46:00","2025-12-11 07:36:00"
"KHTT_INTERFACE_INVTSERV","10","0","51","20079462","170359749","3340387","0","2025-12-11 15:50:00","2025-12-11 07:30:00"
"sp_MSupd_dboThe","10","0","426","6126","75858","178","0","2025-12-11 15:35:44","2025-12-11 07:09:39"
"KHTT_INTERFACE_TENDER_HCM_3","5","0","50","41117884","206121960","4122439","0","2025-12-11 15:50:03","2025-12-11 07:40:02"
"CRM_POINT_REDEEM","1","0","31","2690","441733","14249","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
"CRM_CHECK_PIN_EXISTS","1","0","39","348","8544","219","0","2025-12-11 15:16:06","2025-12-11 07:18:28"
