"ObjectName","objtype","usecounts","size_in_bytes"
"sp_GET_CUSTOMER_ACCUMULATION_AT_SUPERMARKET","Proc","16022","1163264"
"","Adhoc","72","204800"
"","Adhoc","70","163840"
"","Adhoc","70","155648"
"","Adhoc","70","155648"
"","Adhoc","70","155648"
"","Adhoc","70","155648"
"","Adhoc","70","155648"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","70","172032"
"","Adhoc","65","155648"
"","Adhoc","63","155648"
"","Adhoc","62","204800"
"","Adhoc","59","172032"
"","Adhoc","59","172032"
"","Adhoc","59","172032"
"","Adhoc","59","172032"
"","Adhoc","59","172032"
